age,sex,cell_type,n_actual_hf_cells,n_top100_degs,n_seeds,R2_all_HVGs,R2_top100_DEGs,r2_all_hvgs_mean,r2_all_hvgs_sd,r2_top100_degs_mean,r2_top100_degs_sd,r2_all_seed0,r2_deg_seed0,r2_all_seed1,r2_deg_seed1,r2_all_seed2,r2_deg_seed2,r2_all_seed3,r2_deg_seed3,r2_all_seed4,r2_deg_seed4
8W,M,Fibroblasts_Bmper+_Nrxn1+,510,100,5,0.968 ± 0.009,0.950 ± 0.016,0.9683,0.0087,0.9502,0.0156,0.9668,0.956,0.9666,0.9454,0.9801,0.9731,0.9562,0.9308,0.972,0.9457
8W,M,ECs_Cap,404,100,5,0.967 ± 0.004,0.967 ± 0.019,0.9671,0.0041,0.9672,0.0188,0.9699,0.9818,0.9652,0.9713,0.9633,0.9365,0.9728,0.9823,0.9641,0.9641
8W,M,Fibroblasts_Bmper+,199,100,5,0.967 ± 0.007,0.959 ± 0.013,0.9668,0.0066,0.9592,0.0133,0.9572,0.9388,0.9702,0.9633,0.9625,0.9539,0.9721,0.9723,0.9719,0.9678
8W,M,Adipocytes_2,324,100,5,0.951 ± 0.032,0.931 ± 0.058,0.9508,0.0317,0.9315,0.0577,0.9534,0.9327,0.9657,0.9621,0.9676,0.9527,0.972,0.9776,0.8955,0.8325
8W,M,Pericytes,426,100,5,0.950 ± 0.016,0.939 ± 0.040,0.9496,0.0163,0.9386,0.0395,0.9315,0.8769,0.9517,0.9592,0.9381,0.9259,0.9739,0.9796,0.9529,0.9514
8W,M,Fibroblasts_Pi16+,208,100,5,0.948 ± 0.006,0.947 ± 0.008,0.9475,0.0065,0.9468,0.0082,0.9531,0.9528,0.9544,0.9536,0.941,0.9495,0.9407,0.9336,0.9485,0.9445
8W,M,ECs_Lymph_Piezo2+,81,100,5,0.936 ± 0.027,0.918 ± 0.059,0.9358,0.0274,0.9176,0.0586,0.9594,0.9599,0.8985,0.8728,0.9573,0.9624,0.9486,0.956,0.915,0.8371
8W,M,Adipocytes_3,242,100,5,0.934 ± 0.019,0.941 ± 0.017,0.9339,0.0191,0.941,0.0166,0.907,0.9271,0.9477,0.9686,0.9451,0.9362,0.9493,0.9434,0.9203,0.9299
8W,M,ECs_Artery,152,100,5,0.930 ± 0.021,0.865 ± 0.045,0.9299,0.0211,0.865,0.0448,0.9094,0.8279,0.915,0.8184,0.9604,0.9275,0.9223,0.8623,0.9423,0.8889
8W,M,ECs_Venous_Fbn1+,107,100,5,0.924 ± 0.022,0.904 ± 0.036,0.9242,0.0221,0.9037,0.0356,0.9512,0.9452,0.9415,0.9384,0.9004,0.8666,0.9052,0.8827,0.9228,0.8857
8W,M,Macrophages_M2,94,100,5,0.922 ± 0.007,0.945 ± 0.014,0.9217,0.0073,0.9449,0.014,0.9301,0.9543,0.9219,0.9498,0.91,0.9201,0.9219,0.9511,0.9245,0.9491
8W,M,T_Cells,101,100,5,0.917 ± 0.037,0.961 ± 0.023,0.917,0.0367,0.9608,0.0227,0.9424,0.9629,0.9393,0.9692,0.9376,0.9747,0.8556,0.9213,0.9101,0.9759
8W,M,ECs_Lymph,98,100,5,0.902 ± 0.046,0.920 ± 0.033,0.9023,0.0456,0.9198,0.0327,0.9233,0.9088,0.9271,0.9079,0.8856,0.9191,0.8305,0.8883,0.9451,0.9747
8W,M,Fibroblasts_Pi16++,160,100,5,0.897 ± 0.016,0.913 ± 0.020,0.8968,0.0163,0.9132,0.0198,0.8994,0.9223,0.8923,0.9028,0.8809,0.8994,0.8881,0.8975,0.9235,0.9439
8W,M,Macrophages_M2_F13a1+,73,100,5,0.889 ± 0.010,0.891 ± 0.014,0.8895,0.0102,0.8914,0.0144,0.8899,0.8986,0.8795,0.879,0.9066,0.9131,0.8854,0.88,0.8863,0.8863
8W,M,Macrophages_M1_Cd80+,95,100,5,0.882 ± 0.051,0.931 ± 0.040,0.882,0.0511,0.9307,0.0398,0.8988,0.928,0.9333,0.9805,0.8997,0.9522,0.797,0.8737,0.8812,0.9192
8W,M,ECs_Venous,31,100,5,0.859 ± 0.009,0.875 ± 0.032,0.8586,0.0095,0.8745,0.0319,0.8702,0.9163,0.8641,0.887,0.8579,0.8844,0.845,0.8418,0.8558,0.8429
8W,M,Neutrophils,60,100,5,0.840 ± 0.089,0.872 ± 0.096,0.8404,0.0889,0.8719,0.0961,0.8761,0.9115,0.7015,0.7264,0.9319,0.9647,0.8102,0.8259,0.8823,0.931
8W,M,Adipocytes_Brown,5863,100,5,0.803 ± 0.030,0.880 ± 0.034,0.8031,0.0304,0.8797,0.0344,0.7802,0.8395,0.7739,0.8511,0.8313,0.9246,0.84,0.8906,0.7903,0.8925
8W,M,T_Regs,14,100,5,0.803 ± 0.009,0.859 ± 0.013,0.8026,0.0093,0.8585,0.0125,0.7965,0.8602,0.8149,0.8483,0.8037,0.8433,0.807,0.8694,0.7909,0.8714
8W,M,B_Cells_Naive,62,100,5,0.725 ± 0.113,0.774 ± 0.106,0.725,0.1133,0.7741,0.106,0.6809,0.7108,0.6927,0.727,0.8719,0.935,0.5797,0.673,0.8,0.8249
