age,sex_subset,target,control_count,treated_count,eligible,reason
24W,M,Adipocytes_2,201,429,True,ok
24W,M,Adipocytes_3,646,1286,True,ok
24W,M,Adipocytes_Brown,6653,7209,True,ok
24W,M,B_Cells_Naive,20,59,True,ok
24W,M,Dendritic_Cells,13,21,True,ok
24W,M,ECs_Artery,530,471,True,ok
24W,M,ECs_Cap,1571,1514,True,ok
24W,M,ECs_Lymph,43,58,True,ok
24W,M,ECs_Lymph_Piezo2+,47,73,True,ok
24W,M,ECs_Venous,137,149,True,ok
24W,M,ECs_Venous_Fbn1+,91,143,True,ok
24W,M,Fibroblasts_Bmper+,88,177,True,ok
24W,M,Fibroblasts_Bmper+_Nrxn1+,404,428,True,ok
24W,M,Fibroblasts_Pi16+,95,185,True,ok
24W,M,Fibroblasts_Pi16++,73,140,True,ok
24W,M,Macrophages_M1_Cd80+,35,46,True,ok
24W,M,Macrophages_M2,82,122,True,ok
24W,M,Macrophages_M2_F13a1+,73,98,True,ok
24W,M,Mesothelial_Cells,125,152,True,ok
24W,M,Monocytes,1,2,True,ok
24W,M,NK_Cells,37,66,True,ok
24W,M,Neuronal_Cells,19,8,True,ok
24W,M,Neutrophils,4,13,True,ok
24W,M,Pericytes,376,384,True,ok
24W,M,SMCs,31,47,True,ok
24W,M,T_Cells,36,61,True,ok
24W,M,T_Regs,7,10,True,ok
24W,F,Adipocytes_2,91,138,True,ok
24W,F,Adipocytes_3,113,117,True,ok
24W,F,Adipocytes_Brown,4183,5161,True,ok
24W,F,B_Cells_Naive,4,11,True,ok
24W,F,Dendritic_Cells,10,13,True,ok
24W,F,ECs_Artery,407,319,True,ok
24W,F,ECs_Cap,1043,966,True,ok
24W,F,ECs_Lymph,70,79,True,ok
24W,F,ECs_Lymph_Piezo2+,73,96,True,ok
24W,F,ECs_Venous,103,135,True,ok
24W,F,ECs_Venous_Fbn1+,80,97,True,ok
24W,F,Fibroblasts_Bmper+,119,150,True,ok
24W,F,Fibroblasts_Bmper+_Nrxn1+,432,310,True,ok
24W,F,Fibroblasts_Pi16+,123,155,True,ok
24W,F,Fibroblasts_Pi16++,61,105,True,ok
24W,F,Macrophages_M1_Cd80+,10,13,True,ok
24W,F,Macrophages_M2,71,69,True,ok
24W,F,Macrophages_M2_F13a1+,77,65,True,ok
24W,F,Mesothelial_Cells,56,112,True,ok
24W,F,Monocytes,0,1,False,0 Control cells (perturbation undefined)
24W,F,NK_Cells,11,14,True,ok
24W,F,Neuronal_Cells,11,23,True,ok
24W,F,Neutrophils,6,5,True,ok
24W,F,Pericytes,273,281,True,ok
24W,F,SMCs,43,31,True,ok
24W,F,T_Cells,31,32,True,ok
24W,F,T_Regs,5,5,True,ok
24W,Both,Adipocytes_2,292,567,True,ok
24W,Both,Adipocytes_3,759,1403,True,ok
24W,Both,Adipocytes_Brown,10836,12370,True,ok
24W,Both,B_Cells_Naive,24,70,True,ok
24W,Both,Dendritic_Cells,23,34,True,ok
24W,Both,ECs_Artery,937,790,True,ok
24W,Both,ECs_Cap,2614,2480,True,ok
24W,Both,ECs_Lymph,113,137,True,ok
24W,Both,ECs_Lymph_Piezo2+,120,169,True,ok
24W,Both,ECs_Venous,240,284,True,ok
24W,Both,ECs_Venous_Fbn1+,171,240,True,ok
24W,Both,Fibroblasts_Bmper+,207,327,True,ok
24W,Both,Fibroblasts_Bmper+_Nrxn1+,836,738,True,ok
24W,Both,Fibroblasts_Pi16+,218,340,True,ok
24W,Both,Fibroblasts_Pi16++,134,245,True,ok
24W,Both,Macrophages_M1_Cd80+,45,59,True,ok
24W,Both,Macrophages_M2,153,191,True,ok
24W,Both,Macrophages_M2_F13a1+,150,163,True,ok
24W,Both,Mesothelial_Cells,181,264,True,ok
24W,Both,Monocytes,1,3,True,ok
24W,Both,NK_Cells,48,80,True,ok
24W,Both,Neuronal_Cells,30,31,True,ok
24W,Both,Neutrophils,10,18,True,ok
