Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	14/434	3.367707596936935e-08	3.2633086614318905e-05	0	0	7.550387596899225	129.9153551096869	NOTCH1;FLT1;LIMCH1;LDLRAD4;LDB2;CDH5;CXCL12;DACH1;PLXNA2;PECAM1;CDH13;FYN;SASH1;ENG
GO_Biological_Process_2023	Axon Guidance (GO:0007411)	8/149	8.197189360580768e-07	0.00039715382452013817	0	0	12.18563058896084	170.77313536030636	CXCL12;SEMA6A;NOTCH1;CHN1;PLXNA2;PTPRM;FYN;KALRN
GO_Biological_Process_2023	Negative Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043537)	4/33	2.1536267738475066e-05	0.0069562144795274	0	0	28.55028735632184	306.79488338882885	MEF2C;STARD13;NOTCH1;MEOX2
GO_Biological_Process_2023	Negative Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090051)	3/13	3.344768461719186e-05	0.0081027015985147	0	0	61.51546391752577	633.9493354046144	STARD13;NOTCH1;MEOX2
GO_Biological_Process_2023	Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562)	3/18	9.371291441807692e-05	0.0151346356785194	0	0	41.0	380.2862565875762	MEF2C;FLT1;AKT3
GO_Biological_Process_2023	Mesenchyme Morphogenesis (GO:0072132)	3/18	9.371291441807692e-05	0.0151346356785194	0	0	41.0	380.2862565875762	ADAMTS5;NOTCH1;ENG
GO_Biological_Process_2023	Cell Junction Assembly (GO:0034329)	5/95	0.00011465277565068032	0.0158326312465038	0	0	11.584795321637428	105.11582592931488	DNM3;CDH5;CDH13;PKP4;SHANK3
GO_Biological_Process_2023	Endocardial Cushion Morphogenesis (GO:0003203)	3/21	0.00015108790718152863	0.0158326312465038	0	0	34.16151202749141	300.5409826909726	ADAMTS5;NOTCH1;ENG
GO_Biological_Process_2023	Regulation Of Cell-Substrate Junction Assembly (GO:0090109)	3/21	0.00015108790718152863	0.0158326312465038	0	0	34.16151202749141	300.5409826909726	LIMCH1;PEAK1;FYN
GO_Biological_Process_2023	Negative Regulation Of Cell Migration (GO:0030336)	6/163	0.0001693432645465095	0.0158326312465038	0	0	8.02669738446944	69.70049096231482	DACH1;LIMCH1;LDLRAD4;MCC;PTPRG;ENG
