Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Sialyltransferase Activity (GO:0008373)	3/20	0.00012997496316054035	0.0207959941056864	0	0	36.1728320194057	323.6806038860264	ST6GAL1;ST6GALNAC3;ST3GAL1
GO_Molecular_Function_2023	Fatty Acid Synthase Activity (GO:0004312)	2/10	0.0010850384206118	0.0868030736489486	0	0	50.74489795918368	346.39177176286466	FASN;ELOVL6
GO_Molecular_Function_2023	Transforming Growth Factor Beta Receptor Binding (GO:0005160)	2/18	0.003594237117374	0.1336598763899948	0	0	25.362244897959183	142.7494556250508	SMAD6;ENG
GO_Molecular_Function_2023	Transforming Growth Factor Beta Binding (GO:0050431)	2/21	0.0048853872583166	0.1336598763899948	0	0	21.354457572502685	113.63788950907964	LTBP1;ENG
GO_Molecular_Function_2023	Ephrin Receptor Binding (GO:0046875)	2/21	0.0048853872583166	0.1336598763899948	0	0	21.354457572502685	113.63788950907964	LYN;EFNB2
GO_Molecular_Function_2023	Cyclin-Dependent Protein Kinase Activity (GO:0097472)	2/23	0.0058476195920622	0.1336598763899948	0	0	19.318756073858115	99.33164622370634	CDK6;CDK14
GO_Molecular_Function_2023	Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0004693)	2/23	0.0058476195920622	0.1336598763899948	0	0	19.318756073858115	99.33164622370634	CDK6;CDK14
GO_Molecular_Function_2023	Phospholipase Activity (GO:0004620)	3/77	0.0067890554235683	0.1357811084713679	0	0	8.286152131512956	41.36814601724816	ASPG;PNPLA3;PLCB1
GO_Molecular_Function_2023	O-acyltransferase Activity (GO:0008374)	2/31	0.0104724512850622	0.1682757655798449	0	0	13.983814215341308	63.75230908786907	GPAM;PNPLA3
GO_Molecular_Function_2023	Monocarboxylic Acid Transmembrane Transporter Activity (GO:0008028)	2/32	0.0111345221222248	0.1682757655798449	0	0	13.517006802721088	60.79550767481704	SLC6A6;SLC27A1
GO_Molecular_Function_2023	Protein Tyrosine Kinase Activity (GO:0004713)	3/99	0.0134550429542985	0.1682757655798449	0	0	6.380154639175258	27.48826655672556	LYN;EPHA4;FLT1
GO_Molecular_Function_2023	Actin Binding (GO:0003779)	4/183	0.0134644784323042	0.1682757655798449	0	0	4.590549348230913	19.774710751918462	PHACTR2;PHACTR1;CORO2B;NCALD
GO_Molecular_Function_2023	Adenyl Ribonucleotide Binding (GO:0032559)	5/309	0.0195104539926361	0.1682757655798449	0	0	3.392659279778393	13.356237523576452	ACLY;CDK6;PRAG1;PDE4D;AKT3
GO_Molecular_Function_2023	GTPase Activator Activity (GO:0005096)	4/211	0.0215206574171987	0.1682757655798449	0	0	3.963969404186796	15.216655818861271	RGS3;RALGAPA2;PLCB1;RGS7
GO_Molecular_Function_2023	alpha-N-acetylgalactosaminide Alpha-2,6-Sialyltransferase Activity (GO:0001665)	1/5	0.0247535287182936	0.1682757655798449	0	0	50.24242424242424	185.83603697375267	ST6GALNAC3
GO_Molecular_Function_2023	Uridine Transmembrane Transporter Activity (GO:0015213)	1/5	0.0247535287182936	0.1682757655798449	0	0	50.24242424242424	185.83603697375267	SLC28A2
GO_Molecular_Function_2023	Carnitine O-acyltransferase Activity (GO:0016406)	1/5	0.0247535287182936	0.1682757655798449	0	0	50.24242424242424	185.83603697375267	CPT1B
GO_Molecular_Function_2023	Neurotrophin TRK Receptor Binding (GO:0005167)	1/5	0.0247535287182936	0.1682757655798449	0	0	50.24242424242424	185.83603697375267	PIK3R1
GO_Molecular_Function_2023	Neurotrophin TRKA Receptor Binding (GO:0005168)	1/5	0.0247535287182936	0.1682757655798449	0	0	50.24242424242424	185.83603697375267	PIK3R1
GO_Molecular_Function_2023	Sphingosine-1-Phosphate Phosphatase Activity (GO:0042392)	1/6	0.0296309633944118	0.1682757655798449	0	0	40.19191919191919	141.432767389918	PLPP3
GO_Molecular_Function_2023	Gamma-Aminobutyric Acid Transmembrane Transporter Activity (GO:0015185)	1/6	0.0296309633944118	0.1682757655798449	0	0	40.19191919191919	141.432767389918	SLC6A6
GO_Molecular_Function_2023	Beta-Galactoside (CMP) Alpha-2,3-Sialyltransferase Activity (GO:0003836)	1/6	0.0296309633944118	0.1682757655798449	0	0	40.19191919191919	141.432767389918	ST3GAL1
GO_Molecular_Function_2023	Lipoprotein Lipase Activity (GO:0004465)	1/6	0.0296309633944118	0.1682757655798449	0	0	40.19191919191919	141.432767389918	PNPLA3
