	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	celltype	group	group1	group2
3110082J24Rik	51.43932426760582	0.07456959819541031	0.3564817373896625	0.2091820993171942	0.8343060859852487	0.9309753483144442	3110082J24Rik	Adipocytes_Brown	diet	Control	HF
AABR07000398.1	9957.335959389364	0.11112307741550621	0.35831485680674596	0.3101269046051291	0.7564644533036498	0.8945461256383389	AABR07000398.1	Adipocytes_Brown	diet	Control	HF
AABR07000544.1	8.546047813581835	-0.7357636266255037	0.6662271311514407	-1.104373557038848	0.2694311265437458	0.5474693186366482	AABR07000544.1	Adipocytes_Brown	diet	Control	HF
AABR07001592.2	11.146085989416472	-1.1198672151935158	0.6448797558472206	-1.7365519773872775	0.08246628226729792	0.2765822189893504	AABR07001592.2	Adipocytes_Brown	diet	Control	HF
AABR07001942.1	5.500410071317014	1.1867757160340697	1.017429305083611	1.1664453835802795	0.2434344184738242	0.5230564742111768	AABR07001942.1	Adipocytes_Brown	diet	Control	HF
AABR07002093.2	5.251031465351672	0.982167625006844	0.9303035654976775	1.05574960844251	0.2910826260388776	0.5712189369005448	AABR07002093.2	Adipocytes_Brown	diet	Control	HF
AABR07002627.1	15.947748204481973	-0.4833659594380518	0.5074792233806633	-0.9524842341682941	0.34085145787399684	0.6179784326876765	AABR07002627.1	Adipocytes_Brown	diet	Control	HF
AABR07002969.1	386.73806666956943	-0.44476864101004526	0.24072493790683988	-1.8476217913998172	0.06465707502345616	0.23774538515239776	AABR07002969.1	Adipocytes_Brown	diet	Control	HF
AABR07004232.1	5.06668605083686	0.32999625152241596	0.8225705802009434	0.40117682234854807	0.688289943893042	0.8602129983335952	AABR07004232.1	Adipocytes_Brown	diet	Control	HF
AABR07005588.1	88.69832683335066	0.16661396850957852	0.26113782029447524	0.6380307851298377	0.5234536405232921	0.7583161929312967	AABR07005588.1	Adipocytes_Brown	diet	Control	HF
AABR07005806.1	3.2839351791507774	2.8945401279169376	1.4514273756470841	1.9942714161819335	0.04612240121786531	0.19213910054428412	AABR07005806.1	Adipocytes_Brown	diet	Control	HF
AABR07006049.1	4.712363730393737	-2.167006078903775	0.9815608285564693	-2.207714505162842	0.027264181047529285	0.1366951194873184	AABR07006049.1	Adipocytes_Brown	diet	Control	HF
AABR07007032.1	15722.62198129601	-0.8378742979567528	0.21920224000784955	-3.8223801815471816	0.0001321697052260843	0.0024428282968662848	AABR07007032.1	Adipocytes_Brown	diet	Control	HF
AABR07008066.2	90.95046092778244	-0.3736812318222089	0.5054601378869436	-0.7392892214693106	0.4597313929146619	0.7133095331420006	AABR07008066.2	Adipocytes_Brown	diet	Control	HF
AABR07008681.1	9.440606772043555	0.7608266932718352	0.659353303291923	1.1538983568798256	0.24854184291480308	0.5288080315636141	AABR07008681.1	Adipocytes_Brown	diet	Control	HF
AABR07008940.1	3.4790395642132563	-1.5037645559113122	1.0439225534560481	-1.44049436515467	0.14972758309158485	0.39453156426750047	AABR07008940.1	Adipocytes_Brown	diet	Control	HF
AABR07009105.1	43.16383533795571	-0.16540070383026167	0.3475077656700969	-0.4759626119759385	0.6341010143372854	0.8291042614340554	AABR07009105.1	Adipocytes_Brown	diet	Control	HF
AABR07009260.1	14.632421288704242	0.04793154207698629	0.5622364848439866	0.0852515682796478	0.9320613942065165	0.9726089556750174	AABR07009260.1	Adipocytes_Brown	diet	Control	HF
AABR07012054.1	5.313784932282818	-0.5600759574926396	0.8044543895150316	-0.6962184118732743	0.4862920588512576	0.7300773768148247	AABR07012054.1	Adipocytes_Brown	diet	Control	HF
AABR07013165.1	38.926104235479066	-0.021542960518946185	0.44644908877618705	-0.04825401386303659	0.9615138034509614	0.9856827422984691	AABR07013165.1	Adipocytes_Brown	diet	Control	HF
AABR07015057.1	7569.479493486196	1.0495558277228547	0.23283016809723303	4.5078171626133345	6.549797940630762e-06	0.00018428838417765544	AABR07015057.1	Adipocytes_Brown	diet	Control	HF
AABR07015346.1	12.257007319708931	0.1358978550377945	0.5904768978843298	0.2301493174834012	0.8179757434875988	0.925470785883978	AABR07015346.1	Adipocytes_Brown	diet	Control	HF
AABR07015507.1	185.14552317489003	-0.05861776463858554	0.23702109024791015	-0.24731033249941936	0.8046680629356746	0.9185969455143487	AABR07015507.1	Adipocytes_Brown	diet	Control	HF
AABR07017236.2	44.65961254654682	1.0888142551739102	0.34008174045235673	3.2016251555453508	0.0013665469654255693	0.015692901017350356	AABR07017236.2	Adipocytes_Brown	diet	Control	HF
AABR07017902.1	500.069956187768	1.0295454577100518	0.2796814832872383	3.681135574687612	0.00023219749075289125	0.003900978868956261	AABR07017902.1	Adipocytes_Brown	diet	Control	HF
AABR07017917.1	8.015296959830962	0.14029917916221404	0.6574564272039775	0.21339692389787207	0.8310173796244016	0.9303540070176375	AABR07017917.1	Adipocytes_Brown	diet	Control	HF
AABR07018132.1	10.51731770766711	-0.504654331028756	0.625809294194811	-0.806402742353104	0.42001066621601435	0.6872803697515903	AABR07018132.1	Adipocytes_Brown	diet	Control	HF
AABR07019088.1	1363.973302466006	-0.35204215654071785	0.18380023109957316	-1.9153520887033064	0.055447616882537874	0.21520879837378468	AABR07019088.1	Adipocytes_Brown	diet	Control	HF
AABR07019209.2	12.782299063999814	-0.5476199373562789	0.648293721244647	-0.8447096114164326	0.3982729917936356	0.6694609781858575	AABR07019209.2	Adipocytes_Brown	diet	Control	HF
AABR07019403.1	52.39438901950938	1.103962591025212	0.30887543545453794	3.5741352801352817	0.0003513872324444128	0.005425707447828282	AABR07019403.1	Adipocytes_Brown	diet	Control	HF
AABR07021503.1	16.20935785634136	0.5384971849579613	0.5159943954017483	1.043610530960695	0.2966656186393256	0.5765116179212308	AABR07021503.1	Adipocytes_Brown	diet	Control	HF
AABR07021636.1	6.298702251184767	2.335385385042491	0.9213388163304108	2.5347736833058536	0.01125199942141391	0.07332151508806159	AABR07021636.1	Adipocytes_Brown	diet	Control	HF
AABR07025743.1	11.191594676656871	-0.3537711785631915	0.7826641900539083	-0.45200889865527705	0.6512625718282121	0.8382555099993649	AABR07025743.1	Adipocytes_Brown	diet	Control	HF
AABR07026002.1	8.220080508340516	0.6064391756460222	0.700011491070998	0.8663274580224208	0.3863106126872311	0.6601151006691058	AABR07026002.1	Adipocytes_Brown	diet	Control	HF
AABR07026291.1	1841.3434945834213	-0.09757069816519544	0.17934781355408036	-0.5440305974835543	0.5864204175943883	0.801238009274907	AABR07026291.1	Adipocytes_Brown	diet	Control	HF
AABR07026565.1	45.72938732683591	0.1174085408301466	0.37216911643568795	0.3154709395410975	0.7524041122857423	0.8927166486504567	AABR07026565.1	Adipocytes_Brown	diet	Control	HF
AABR07026797.1	6.972438725987286	0.627542040910625	0.7286038764728908	0.8612938541426688	0.3890762197384905	0.6626268108907154	AABR07026797.1	Adipocytes_Brown	diet	Control	HF
AABR07028615.1	6.528015338005846	-0.5707373889687657	0.8012360282306447	-0.7123211748591922	0.47626591464064005	0.7233177310107772	AABR07028615.1	Adipocytes_Brown	diet	Control	HF
AABR07028902.1	609.0278731564199	0.31407043102539484	0.19044323126813228	1.649155125829613	0.0991158585359532	0.31020716068106774	AABR07028902.1	Adipocytes_Brown	diet	Control	HF
AABR07028945.1	17.126752094910838	-0.5821631978140241	0.4880529108695678	-1.1928280414858692	0.23293672554554024	0.5101908217696574	AABR07028945.1	Adipocytes_Brown	diet	Control	HF
AABR07028997.1	4.195371996460008	0.03174689568552691	0.951236494343021	0.03337434578501233	0.9733760673606926	0.9905627937140685	AABR07028997.1	Adipocytes_Brown	diet	Control	HF
AABR07031480.1	206.35947226818234	0.004751703838914724	0.23387349592263482	0.020317410573477655	0.9837901670244708	0.9942984968483832	AABR07031480.1	Adipocytes_Brown	diet	Control	HF
AABR07031491.2	122.88558424534985	0.015776597333943643	0.2736908542927825	0.057643860167378956	0.9540323123733353	0.9822660409255095	AABR07031491.2	Adipocytes_Brown	diet	Control	HF
AABR07032097.1	4.05974455526471	-1.8067697256119861	1.21147898211681	-1.4913752135055849	0.1358630119394055	0.37210981312024405	AABR07032097.1	Adipocytes_Brown	diet	Control	HF
AABR07034438.1	528.9580142576905	-0.22380268521327207	0.21123891419134977	-1.059476593458256	0.2893827835717998	0.569504032865179	AABR07034438.1	Adipocytes_Brown	diet	Control	HF
