	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	celltype	group	group1	group2
3110082J24Rik	29.911338210288104	-0.17466396786510352	0.48391076603730354	-0.3609425128012942	0.7181424221668281	0.9956163367145279	3110082J24Rik	Adipocytes_Brown	diet	Control	HF
AABR07000398.1	10082.23817976985	-0.15463417962470763	0.22602135432488554	-0.6841573889626145	0.493875786179093	0.9831169917957934	AABR07000398.1	Adipocytes_Brown	diet	Control	HF
AABR07000544.1	9.249017893548547	0.13866239954276827	0.8300241539483141	0.1670582703926985	0.867324199924152	0.9996183827698806	AABR07000544.1	Adipocytes_Brown	diet	Control	HF
AABR07001592.2	9.142952494658694	0.014158984500366243	0.652546463077163	0.021698048034155013	0.9826888208504285	0.9996183827698806	AABR07001592.2	Adipocytes_Brown	diet	Control	HF
AABR07001942.1	4.424646386502022	-0.57522066584762	1.040315323736174	-0.5529291482334227	0.5803119271382138	0.9877188515990948	AABR07001942.1	Adipocytes_Brown	diet	Control	HF
AABR07002093.2	7.070265483249336	-1.028828254961337	0.940972032088165	-1.0933675177127264	0.27423246928972167	0.8857955778723686	AABR07002093.2	Adipocytes_Brown	diet	Control	HF
AABR07002627.1	12.021336841633742	-0.3696330050506762	0.5690372376964438	-0.6495761271213311	0.5159660577727533	0.98489427355896	AABR07002627.1	Adipocytes_Brown	diet	Control	HF
AABR07002969.1	298.0978975197534	-0.3023450834071626	0.3677461561411589	-0.8221570187972483	0.4109875373984446	0.9567077514006006	AABR07002969.1	Adipocytes_Brown	diet	Control	HF
AABR07004232.1	8.930974126135116	0.29730520312421704	0.7233343309325155	0.41102045127725945	0.6810575386151897	0.9956163367145279	AABR07004232.1	Adipocytes_Brown	diet	Control	HF
AABR07005588.1	91.90236240554691	0.12668148742739269	0.35780019846641664	0.35405650407788436	0.7232965381042791	0.9956163367145279	AABR07005588.1	Adipocytes_Brown	diet	Control	HF
AABR07006049.1	5.46567977784176	-0.03136291123711844	0.960642789526463	-0.03264783911257837	0.9739554200495519	0.9996183827698806	AABR07006049.1	Adipocytes_Brown	diet	Control	HF
AABR07007032.1	10558.363758675307	-0.74371948538092	0.23741678992828294	-3.132547978622646	0.0017329610150663137	0.04597045608079382	AABR07007032.1	Adipocytes_Brown	diet	Control	HF
AABR07008066.2	49.612630703351165	-0.10174871067267179	0.6422496432219322	-0.15842548415011273	0.8741215339040614	0.9996183827698806	AABR07008066.2	Adipocytes_Brown	diet	Control	HF
AABR07008681.1	8.777951870951691	0.06528924522846265	0.7415958041211628	0.08803885467749441	0.9298457944550167	0.9996183827698806	AABR07008681.1	Adipocytes_Brown	diet	Control	HF
AABR07009105.1	34.20939176589403	0.16805335256747014	0.41435905342190404	0.4055742264580297	0.6850554694419442	0.9956163367145279	AABR07009105.1	Adipocytes_Brown	diet	Control	HF
AABR07009260.1	6.32158219012037	-0.21249494546757358	0.8762698201276721	-0.24249944547515417	0.8083931864822842	0.9966870543751325	AABR07009260.1	Adipocytes_Brown	diet	Control	HF
AABR07013165.1	37.9315072795384	-0.377960046823113	0.41735185361142807	-0.9056148752007449	0.3651397326318102	0.9408393455041824	AABR07013165.1	Adipocytes_Brown	diet	Control	HF
AABR07015057.1	15774.437464688877	0.10349581900568627	0.3613081807050158	0.2864474831534018	0.7745354112433867	0.9956163367145279	AABR07015057.1	Adipocytes_Brown	diet	Control	HF
AABR07015346.1	13.635148019254608	0.1398226263153171	0.6013504582119275	0.23251437561230046	0.8161385230171462	0.9988663587306569	AABR07015346.1	Adipocytes_Brown	diet	Control	HF
AABR07015507.1	158.20264587935057	0.4438636709715662	0.2766521800714253	1.6044105304247764	0.10862359136531329	0.6546348293232102	AABR07015507.1	Adipocytes_Brown	diet	Control	HF
AABR07017236.2	26.64804814558997	0.5418186227951842	0.5878605337191527	0.9216788536003938	0.3566961139290138	0.9394867062756643	AABR07017236.2	Adipocytes_Brown	diet	Control	HF
AABR07017902.1	266.2007814430961	0.42048127486238157	0.38753881107737764	1.0850042959398627	0.277919752586382	0.8894741309549504	AABR07017902.1	Adipocytes_Brown	diet	Control	HF
AABR07017917.1	7.98163959584572	-0.03859788121204226	0.7054219027736277	-0.05471602321997712	0.956364703802252	0.9996183827698806	AABR07017917.1	Adipocytes_Brown	diet	Control	HF
AABR07018132.1	15.17231618752195	-0.7990837877972172	0.6013824193445167	-1.328744842039425	0.1839321652952164	0.7998956078930304	AABR07018132.1	Adipocytes_Brown	diet	Control	HF
AABR07019088.1	998.377895580545	0.03557392141340213	0.2592421621964716	0.13722274614590568	0.8908547321538711	0.9996183827698806	AABR07019088.1	Adipocytes_Brown	diet	Control	HF
AABR07019209.2	15.950272278671235	0.08876455419747195	0.5050224924429506	0.17576356603067367	0.8604796940683307	0.9996183827698806	AABR07019209.2	Adipocytes_Brown	diet	Control	HF
AABR07019403.1	42.50974123625664	0.9588253161480706	0.5121351002527622	1.872211679447174	0.06117732389485091	0.49316907970344875	AABR07019403.1	Adipocytes_Brown	diet	Control	HF
AABR07020987.1	4.945676890545086	-0.9734224216715472	1.229962462535228	-0.7914244957241261	0.42869632026127313	0.9606900711514732	AABR07020987.1	Adipocytes_Brown	diet	Control	HF
AABR07021503.1	14.936920840411062	0.20175413504080897	0.6014799516993714	0.33542952590654035	0.7373010982981391	0.9956163367145279	AABR07021503.1	Adipocytes_Brown	diet	Control	HF
AABR07021636.1	6.160148155720704	3.1417914242846083	1.0952349203004073	2.86860048565915	0.00412292210823779	0.0890293746441883	AABR07021636.1	Adipocytes_Brown	diet	Control	HF
AABR07025743.1	6.740049560379326	-1.2743251422799804	0.8763738744592316	-1.4540884654580848	0.14592178105875628	0.7392201576501783	AABR07025743.1	Adipocytes_Brown	diet	Control	HF
AABR07025986.2	8.283262368064072	-0.0631406888567953	0.7487768312703779	-0.08432511025971591	0.9327979483994627	0.9996183827698806	AABR07025986.2	Adipocytes_Brown	diet	Control	HF
AABR07026002.1	9.645444930204382	0.5143883737169247	0.7119900541668742	0.722465673089815	0.47000822270897225	0.976259738298569	AABR07026002.1	Adipocytes_Brown	diet	Control	HF
AABR07026291.1	1447.7588548620752	-0.1358664054463905	0.20528591419015763	-0.6618398830839245	0.5080738428262972	0.98489427355896	AABR07026291.1	Adipocytes_Brown	diet	Control	HF
AABR07026565.1	29.322431796545583	-0.16428544046571164	0.4394724254148715	-0.37382422870017984	0.7085350923504748	0.9956163367145279	AABR07026565.1	Adipocytes_Brown	diet	Control	HF
AABR07026797.1	5.425949943062478	0.3884880666943939	0.8997348684762594	0.4317806059381866	0.6659008764203932	0.9956163367145279	AABR07026797.1	Adipocytes_Brown	diet	Control	HF
AABR07028615.1	8.962240784446118	0.06567632962661951	0.6847581524936167	0.09591171625697693	0.923590689254348	0.9996183827698806	AABR07028615.1	Adipocytes_Brown	diet	Control	HF
AABR07028902.1	516.1571238437969	0.3783490110335653	0.25777139111254316	1.4677695977067442	0.1421668183599278	0.7317163391092412	AABR07028902.1	Adipocytes_Brown	diet	Control	HF
AABR07028945.1	10.957414988413511	-0.675099791873854	0.7220643666110738	-0.9349579110825775	0.3498099904884291	0.9363877511696483	AABR07028945.1	Adipocytes_Brown	diet	Control	HF
AABR07028997.1	6.819732898003637	0.27349986168610513	0.8188130198527223	0.3340199228088714	0.7383645249950814	0.9956163367145279	AABR07028997.1	Adipocytes_Brown	diet	Control	HF
AABR07031480.1	161.75285701768325	0.42224069401924286	0.3560920155864603	1.1857628802034215	0.23571595442280568	0.8609342555278349	AABR07031480.1	Adipocytes_Brown	diet	Control	HF
AABR07031491.2	122.35989190119965	1.092058433992636	0.5897614299465022	1.8516952424164086	0.06406959758565732	0.5046671679017176	AABR07031491.2	Adipocytes_Brown	diet	Control	HF
AABR07034438.1	420.9397800287846	-0.12863293089178596	0.2506841039929643	-0.5131275930259869	0.6078620710753657	0.991121073408169	AABR07034438.1	Adipocytes_Brown	diet	Control	HF
AABR07034767.1	261.6287705402561	-0.38410321218169313	0.4040621458679008	-0.9506042971599403	0.3418052864234462	0.9334785639261917	AABR07034767.1	Adipocytes_Brown	diet	Control	HF
AABR07035218.1	540.3803551233445	-0.702215568542246	0.40404852929279067	-1.7379485819966711	0.08221987423368804	0.5808589497422132	AABR07035218.1	Adipocytes_Brown	diet	Control	HF
