gene_id,gene_id,celltype,group,sub_id,sub_id_2,log2FoldChange_Control,lfcSE_Control,log2FoldChange_HF,lfcSE_HF,log2FC_diff,se_delta,z,pval,padj_diff
Dpep1,Dpep1,Adipocytes_Brown,time,Control,F,4.246533697386188,1.0730389210390827,0.3679261873053434,0.4218134083955034,-3.878607510080845,1.1529696776441913,-3.3640151907601084,0.0007681731495914335,0.7621813990246202
Cavin4,Cavin4,Adipocytes_Brown,time,Control,F,4.63764694403048,0.9978257917984148,1.1081761695338053,0.5983015104699975,-3.5294707744966747,1.1634521942086036,-3.033619079550982,0.0024163932554437384,0.8879797733523249
Adamts2,Adamts2,Adipocytes_Brown,time,Control,F,4.043893388363797,0.796627691668922,0.5975585029962956,0.5627009307097118,-3.4463348853675013,0.97531944333912,-3.5335447364491896,0.0004100266915738615,0.6300748656201244
Dennd2a,Dennd2a,Adipocytes_Brown,time,Control,F,3.8456659123028576,1.1273571997266894,0.5686257095801278,0.3992691385807634,-3.2770402027227297,1.195972449849338,-2.7400632875243516,0.006142735488664508,0.9999939767421606
Spsb4,Spsb4,Adipocytes_Brown,time,Control,F,4.081507543919518,0.669435141239929,0.8070546026653443,0.5044087011877194,-3.2744529412541734,0.8381954104866035,-3.9065507879042576,9.362297222681448e-05,0.29028542610893704
Selenbp1,Selenbp1,Adipocytes_Brown,time,Control,F,3.6450086744385617,0.8028564002050628,0.4436862899664281,0.6231280086561487,-3.2013223844721335,1.0163006024410342,-3.149975879954154,0.0016328394260600732,0.8670831041194413
Enpp1,Enpp1,Adipocytes_Brown,time,Control,F,3.503659918595899,1.052867213749697,0.3894124671177686,0.7565211766505202,-3.1142474514781306,1.2964774045503986,-2.4020838624319185,0.016301970682023104,0.9999939767421606
Dab2ip,Dab2ip,Adipocytes_Brown,time,Control,F,4.090750739446605,0.9524168814552404,0.9805852816710884,0.523883162879008,-3.110165457775517,1.0869919431297725,-2.8612589793632024,0.004219622066033102,0.9999939767421606
Trim63,Trim63,Adipocytes_Brown,time,Control,F,3.1002138776488617,1.1333082000161938,0.0652550768405948,0.3132316655809467,-3.034958800808267,1.1757982618402525,-2.5811900725709744,0.009846035505060247,0.9999939767421606
LOC108352070,LOC108352070,Adipocytes_Brown,time,Control,F,3.489766141122255,0.8954691182048845,-0.5537522079207826,1.046952903080021,-2.9360139332014725,1.3776702518840702,-2.131144175600981,0.033077266337729005,0.9999939767421606
Trpc3,Trpc3,Adipocytes_Brown,time,Control,F,3.5572586393924355,1.4695858526471652,0.6580484296718263,0.6473515357620465,-2.899210209720609,1.6058476232675924,-1.8054080397872814,0.07101085399426199,0.9999939767421606
Slc43a3,Slc43a3,Adipocytes_Brown,time,Control,F,3.038350888770678,0.7971122313756895,0.252609433305145,0.494977645941466,-2.7857414554655326,0.9382914149615172,-2.9689512352404783,0.002988180133584928,0.9622626865260577
