gene_id,gene_id,celltype,group,sub_id,sub_id_2,log2FoldChange_Control,lfcSE_Control,log2FoldChange_HF,lfcSE_HF,log2FC_diff,se_delta,z,pval,padj_diff
Fstl5,Fstl5,Adipocytes_Brown,time,Control,M,0.6638585653890422,0.5676976297588512,-1.6254568487509704,0.5078171761565917,0.9615982833619282,0.7616816153967959,1.262467498130418,0.20678061442463136,0.9999570852014581
Ccnq,Ccnq,Adipocytes_Brown,time,Control,M,0.0569051781805316,0.8667693564137116,-1.0236771920926873,0.7409452660203355,0.9667720139121556,1.1403021548939498,0.8478209128720512,0.39653771454338593,0.9999570852014581
Pidd1,Pidd1,Adipocytes_Brown,time,Control,M,0.006822364762461,0.4466212712360377,-0.9801975234126186,0.4142306378455518,0.9733751586501576,0.6091449591439029,1.597936819534954,0.11005703875727524,0.9999570852014581
LOC102550999,LOC102550999,Adipocytes_Brown,time,Control,M,-1.357400908193272,1.176270807126149,-2.331557294234039,0.632010353640021,0.9741563860407669,1.3353089900114454,0.7295363045765288,0.46567366863090687,0.9999570852014581
C8h15orf39,C8h15orf39,Adipocytes_Brown,time,Control,M,-0.6420035066456952,0.4085924083720218,-1.6168685477542244,0.3002718055847163,0.9748650411085292,0.507061054911886,1.9225792075037893,0.0545329173465523,0.9999570852014581
ENSRNOG00000070783,ENSRNOG00000070783,Adipocytes_Brown,time,Control,M,-0.2400679120788234,0.5178897618944779,-1.2210051857779662,0.4761250299209464,0.9809372736991429,0.7034947402734019,1.3943775518746842,0.16320362322445314,0.9999570852014581
Edil3,Edil3,Adipocytes_Brown,time,Control,M,-0.0262118412735454,0.7060194037928089,-1.010971251830715,0.5521836613778575,0.9847594105571696,0.8963092069283957,1.098682690019316,0.2719064954658643,0.9999570852014581
Per2,Per2,Adipocytes_Brown,time,Control,M,-0.6866795185776922,0.3498874178817981,-1.6714419715025526,0.3706268177174981,0.9847624529248604,0.5096915176882891,1.9320754196406096,0.05335019771748084,0.9999570852014581
Trmt12,Trmt12,Adipocytes_Brown,time,Control,M,-0.4224694538250395,0.8971008816774935,-1.4136711735641037,0.6774003358744891,0.9912017197390641,1.1241268642592823,0.8817525416868263,0.377910640958951,0.9999570852014581
Dnaaf2,Dnaaf2,Adipocytes_Brown,time,Control,M,-0.0842245393984933,0.336162434472766,-1.0786599678299935,0.4137846514578592,0.9944354284315002,0.533125613840452,1.8652929114921573,0.062140358204366475,0.9999570852014581
Dmd,Dmd,Adipocytes_Brown,time,Control,M,-0.7099697446184459,0.3841732204260084,-1.7066905764018423,0.5411962189351622,0.9967208317833964,0.6636884891891727,1.5017901440494907,0.13315131450281847,0.9999570852014581
Eola2,Eola2,Adipocytes_Brown,time,Control,M,0.2058593370730254,0.6802838913806367,-1.2034413198166525,0.6996870663336765,0.9975819827436271,0.9758832735868612,1.0222349431987006,0.3066697159787075,0.9999570852014581
Mef2c,Mef2c,Adipocytes_Brown,time,Control,M,-0.3061274086579469,0.6956953764265869,-1.3149682256786914,0.6290075289296154,1.0088408170207446,0.9378925995184477,1.0756464200045128,0.2820854185258843,0.9999570852014581
Osgin1,Osgin1,Adipocytes_Brown,time,Control,M,0.3705567547188451,0.413151923643975,-1.3802550385877903,0.5977545737005736,1.0096982838689452,0.726639554656001,1.3895448952637146,0.16466711890423436,0.9999570852014581
Mapk7,Mapk7,Adipocytes_Brown,time,Control,M,-0.3058577462815409,0.4017965969487684,-1.3174951803597863,0.4480307746198387,1.0116374340782455,0.6018073448588541,1.6809988158511284,0.09276314457064827,0.9999570852014581
Slbp,Slbp,Adipocytes_Brown,time,Control,M,-0.3000165452529131,0.2876908340887881,-1.3167498379789853,0.339536630123203,1.0167332927260722,0.44502936893436973,2.284643135262414,0.022333761468402935,0.9999570852014581
Slco2b1,Slco2b1,Adipocytes_Brown,time,Control,M,-2.022935696807976,1.515630846978447,-3.0472555490353828,0.7362912207434206,1.0243198522274066,1.6850108682309561,0.6079010358567065,0.5432531125208362,0.9999570852014581
ENSRNOG00000063719,ENSRNOG00000063719,Adipocytes_Brown,time,Control,M,0.09416262556026,0.7937199172483831,-1.120309989003905,0.5536467584696515,1.0261473634436449,0.967737588502551,1.0603570385557468,0.2889821992061563,0.9999570852014581
ENSRNOG00000064147,ENSRNOG00000064147,Adipocytes_Brown,time,Control,M,-0.6106302673296422,0.5108315508453416,-1.637502555148481,0.4378768408585429,1.0268722878188388,0.6728186985357307,1.526224360371735,0.12695399865956247,0.9999570852014581
G4,G4,Adipocytes_Brown,time,Control,M,0.0442821531644885,0.5485552754411182,-1.0720735583082894,0.4817305274903241,1.0277914051438009,0.7300528688597744,1.4078314721905638,0.15918097872934833,0.9999570852014581
Exog,Exog,Adipocytes_Brown,time,Control,M,0.0710212022244048,0.6343048923182822,-1.1032627174161844,0.5155774962947148,1.0322415151917796,0.8174122895482024,1.2628162414371296,0.20665522647283208,0.9999570852014581
Myd88,Myd88,Adipocytes_Brown,time,Control,M,-0.1443082485086362,0.3496103675192397,-1.1834437070710324,0.438418752793308,1.0391354585623962,0.5607480823665628,1.853123517029007,0.06386465681185127,0.9999570852014581
Abcg3l2,Abcg3l2,Adipocytes_Brown,time,Control,M,-0.1756244473236482,0.689622628835295,-1.2176024835645587,0.6528748394085359,1.0419780362409106,0.9496446314987647,1.0972294284404283,0.27254111177936924,0.9999570852014581
Tubb6,Tubb6,Adipocytes_Brown,time,Control,M,-0.1430334933005983,0.5922882357644713,-1.189437483754126,0.5817245526615767,1.0464039904535276,0.8301860089126422,1.2604452245877795,0.2075087959360098,0.9999570852014581
Dnajb1,Dnajb1,Adipocytes_Brown,time,Control,M,0.2916140892450453,0.6482174483326062,-1.3428263003464784,0.5205123569413538,1.0512122111014333,0.8313356566703237,1.2644858940752788,0.20605568054076517,0.9999570852014581
LOC100366030,LOC100366030,Adipocytes_Brown,time,Control,M,-2.2326058811690195,0.8402171030461941,-3.2863666987753364,0.8940598596770194,1.053760817606317,1.2269098634117463,0.8588738659872349,0.390410109233029,0.9999570852014581
